Date,Close,SMA_3
2025-07-03,108824.44423167943,
2025-07-04,109602.20483914016,
2025-07-05,108040.8919400104,108822.51367027666
2025-07-06,108217.46849992426,108620.18842635828
2025-07-07,109215.19771840284,108491.18605277916
2025-07-08,108300.71675785031,108577.79432539246
2025-07-09,108953.19187727802,108823.03545117706
2025-07-09,109550.2289824902,108934.71253920619
